"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3157593207785","13.2617823268318","13.1661445466509","13.0433621595462","12.9465848952922","12.9929081858415","13.1156151349045","13.0798361107769","13.0769640958075","13.0454497139088","13.0434322851883","13.065177593869","13.075809748304","12.834480427412","12.6499232435695","12.5886615102153","12.4897242905361","12.391843429179","12.5436468069337","14.2770861258338","13.5939767531196","13.402498134921","13.1024151668822","12.992789917496","12.8743192327329","13.0076500023729","12.9736528640868","12.887711304244","13.2810048837064","14.1386435764394","14.1374656285462","14.134125491122",
"Afghanistan","AFG","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.413","12.386","12.265","12.183","12.272","12.102","11.951","11.868","11.778","11.678","11.572","11.618","11.454","11.285","11.239","11.093","11.041","10.852","10.794","10.667","10.441","10.393","10.224","10.086","12.495","14.902","17.303","17.292","17.339","16.053","","",
"Africa Western and Central","AFW","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.42567002292563","8.56054739098244","8.60147877828362","8.57643785556527","8.5317238025193","8.55364351181939","8.60901532299606","8.65618019650415","8.92539902962271","8.97025133804548","8.87830524980189","8.70852959571646","8.71493666100796","8.69417173354873","8.71504857562234","8.58378450851102","8.50598776036993","8.5287988364513","8.588387584307","8.62652886084698","8.53182365440397","8.5396987252072","8.08447901320495","8.43270703010195","8.86058618801942","8.69028626350967","8.78593200122265","8.91015862820802","9.0055646827141","10.4448332916934","9.87478674828848","9.72614815973133",
"Angola","AGO","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.573","9.599","9.707","9.489","9.353","9.308","9.299","9.264","9.23","9.172","9.099","8.972","8.991","8.882","8.803","8.758","8.679","8.641","8.659","19.8","17.216","16.791","16.595","16.428","16.437","16.436","16.363","16.343","16.283","17.967","17.523","17.279",
"Albania","ALB","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.739","48.366","40.522","33.52","23.545","22.505","27.493","32.465","33.711","30.866","30.147","29.074","27.731","26.761","26.337","25.91","26.622","26.553","27.324","30.885","22.733","28.987","31.318","39.744","39.874","36.172","31.403","28.305","27.161","30.846","29.505","27.788",
"Andorra","AND","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2921879122817","24.7760201246893","26.5176305515987","26.6924051533124","27.3912128008291","25.3587533841204","24.4736673975475","24.5397689377829","24.2470606854742","25.9929751063178","26.6075501346017","26.4300223517232","27.0001015680277","25.6136487936487","26.0024247407942","25.0475402968996","23.7414575402852","23.8061252245583","22.6092677083681","23.2031791587247","25.3075807296372","26.960190599477","27.0612597715825","27.0682497723488","28.245064973934","27.8765743933314","28.5542791408119","27.5446870548967","26.3739319290541","28.2557167612628","27.2768239318598","26.6823737788474",
"United Arab Emirates","ARE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.957","4.91","4.942","4.941","4.99","5.166","5.182","5.31","5.379","5.438","5.899","6.313","6.73","7.27","7.72","7.084","6.53","6.071","5.903","5.714","5.605","5.529","5.381","5.211","5.008","4.813","7.156","6.662","7.405","14.119","10.493","9.288",
"Argentina","ARG","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.448","13.416","21.429","24.918","39.304","36.268","31.67","26.995","29.72","31.906","36.725","41.085","33.262","29.55","26.221","23.79","20.276","18.932","21.198","19.369","18.716","18.343","19.557","19.132","20.148","21.827","22.831","23.83","25.812","30.407","23.37","18.569",
"Armenia","ARM","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.241","2.547","7.235","8.911","8.808","12.033","13.833","11.977","14.228","13.878","13.556","13.239","12.878","12.458","12.164","11.814","11.494","12.683","13.557","15.149","16.521","17.936","19.218","20.65","22.125","23.558","25.43","26.981","24.609","23.76","24.754","24.565",
"American Samoa","ASM","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.473","19.267","18.525","16.867","15.196","15.652","15.835","14.461","13.1","12.076","13.46","12.786","11.956","11.356","10.603","10.024","9.361","8.806","11.459","11.534","11.359","11.714","12.217","13.305","13.107","12.634","12.591","11.786","11.753","14.211","11.24","8.287",
"Austria","AUT","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.715","4.129","4.66","4.965","5.9","6.837","7.56","7.486","5.925","6.292","6.011","7.142","7.43","12.059","10.975","9.754","9.413","8.488","10.646","9.445","8.91","9.393","9.661","10.265","10.566","11.228","9.777","9.363","8.514","10.438","10.942","9.396",
